EmployeeID,UserID,Birth,TypeOfContract,StartDate,TerminationDate,WorkHour,ExtraHour,IsDeleted
1,1,1981-10-08,Part-time,2021-10-08,NULL,40,6,0
2,2,1977-10-08,Full-time,2022-10-08,NULL,30,NULL,0
3,3,1988-10-08,Part-time,2018-10-08,NULL,30,NULL,0
4,4,1960-10-08,Part-time,2015-10-08,2018-06-08,40,NULL,0
5,5,1976-10-08,Tempo determinato,2021-10-08,NULL,35,9,0
6,6,1972-10-08,Tempo indeterminato,2021-10-08,NULL,35,NULL,0
7,7,1966-10-08,Tempo determinato,2017-10-08,2019-12-08,30,5,0
8,8,1994-10-08,Part-time,2017-10-08,NULL,35,3,0
9,9,1998-10-08,Tempo determinato,2021-10-08,NULL,20,NULL,0
10,10,1990-10-08,Tempo indeterminato,2022-10-08,NULL,35,NULL,0
11,11,1968-10-08,Tempo indeterminato,2020-10-08,2023-07-08,30,NULL,0
12,12,2000-10-08,Full-time,2020-10-08,NULL,20,5,0
13,13,1993-10-08,Tempo indeterminato,2022-10-08,2024-12-08,30,NULL,0
14,14,1989-10-08,Tempo indeterminato,2023-10-08,NULL,30,5,0
15,15,2000-10-08,Tempo determinato,2022-10-08,NULL,30,NULL,0
16,16,1968-10-08,Part-time,2020-10-08,NULL,20,NULL,0
17,17,1992-10-08,Tempo indeterminato,2015-10-08,2019-05-08,40,2,0
18,18,1980-10-08,Tempo indeterminato,2022-10-08,NULL,35,8,0
19,19,2000-10-08,Full-time,2021-10-08,NULL,40,NULL,0
20,20,1969-10-08,Tempo indeterminato,2024-10-08,NULL,40,NULL,0
