EmployeeID,UserID,Birth,TypeOfContract,StartDate,TerminationDate,WorkHour,ExtraHour,IsDeleted
1,1,1981-10-14,Part-time,2021-10-14,NULL,40,6,0
2,2,1977-10-14,Full-time,2022-10-14,NULL,30,NULL,0
3,3,1988-10-14,Part-time,2018-10-14,NULL,30,NULL,0
4,4,1960-10-14,Part-time,2015-10-14,2018-06-14,40,NULL,0
5,5,1976-10-14,Tempo determinato,2021-10-14,NULL,35,9,0
6,6,1972-10-14,Tempo indeterminato,2021-10-14,NULL,35,NULL,0
7,7,1966-10-14,Tempo determinato,2017-10-14,2019-12-14,30,5,0
8,8,1994-10-14,Part-time,2017-10-14,NULL,35,3,0
9,9,1998-10-14,Tempo determinato,2021-10-14,NULL,20,NULL,0
10,10,1990-10-14,Tempo indeterminato,2022-10-14,NULL,35,NULL,0
11,11,1968-10-14,Tempo indeterminato,2020-10-14,2023-07-14,30,NULL,0
12,12,2000-10-14,Full-time,2020-10-14,NULL,20,5,0
13,13,1993-10-14,Tempo indeterminato,2022-10-14,2024-12-14,30,NULL,0
14,14,1989-10-14,Tempo indeterminato,2023-10-14,NULL,30,5,0
15,15,2000-10-14,Tempo determinato,2022-10-14,NULL,30,NULL,0
16,16,1968-10-14,Part-time,2020-10-14,NULL,20,NULL,0
17,17,1992-10-14,Tempo indeterminato,2015-10-14,2019-05-14,40,2,0
18,18,1980-10-14,Tempo indeterminato,2022-10-14,NULL,35,8,0
19,19,2000-10-14,Full-time,2021-10-14,NULL,40,NULL,0
20,20,1969-10-14,Tempo indeterminato,2024-10-14,NULL,40,NULL,0
